"","Year","State","birthState","Count","Salary","HR"
"126",1987,"nebraska","NE",3,1885000,24
"127",1987,"new hampshire","NH",4,710000,0
"128",1987,"new jersey","NJ",22,2542500,19
"129",1987,"new mexico","NM",3,131500,0
"130",1987,"new york","NY",52,11159000,181
"131",1987,"north carolina","NC",14,589000,20
"132",1987,"ohio","OH",46,14123166,185
"133",1987,"oklahoma","OK",19,3237167,55
"134",1987,"oregon","OR",11,3255000,59
"135",1987,"pennsylvania","PA",34,12312500,206
"136",1987,"rhode island","RI",2,8e+05,1
"137",1987,"south carolina","SC",14,4440000,50
"138",1987,"south dakota","SD",3,1255000,3
"139",1987,"tennessee","TN",13,3615500,26
"140",1987,"texas","TX",56,16160722,172
"141",1987,"utah","UT",4,775000,0
"142",1987,"vermont","VT",1,9e+05,23
"143",1987,"virginia","VA",13,1702500,40
"144",1987,"washington","WA",13,2876000,50
"145",1987,"west virginia","WV",2,2165000,42
"146",1987,"wisconsin","WI",6,1487500,8
"147",1987,"wyoming","WY",3,287500,0
"148",1988,"alabama","AL",18,6961937,39
"149",1988,"alaska","AK",2,0,0
"150",1988,"arizona","AZ",9,877500,34
"151",1988,"arkansas","AR",4,1949500,37
"152",1988,"california","CA",211,68723821,843
"153",1988,"colorado","CO",7,1331532,0
"154",1988,"connecticut","CT",4,537500,4
"155",1988,"delaware","DE",1,350000,14
"156",1988,"district of columbia","DC",2,240000,4
"157",1988,"florida","FL",48,13893964,206
"158",1988,"georgia","GA",19,5150833,74
"159",1988,"hawaii","HI",6,2747500,11
"160",1988,"idaho","ID",2,985000,11
"161",1988,"illinois","IL",44,17495488,187
"162",1988,"indiana","IN",17,6042500,51
"163",1988,"iowa","IA",4,1245000,14
"164",1988,"kansas","KS",5,1865000,10
"165",1988,"kentucky","KY",10,2132500,61
"166",1988,"louisiana","LA",10,2168500,32
"167",1988,"maine","ME",3,1137500,1
"168",1988,"maryland","MD",9,3550000,44
"169",1988,"massachusetts","MA",14,4362727,64
"170",1988,"michigan","MI",22,9334833,72
"171",1988,"minnesota","MN",9,7934152,74
"172",1988,"mississippi","MS",16,4318571,65
"173",1988,"missouri","MO",13,4262500,2
"174",1988,"montana","MT",2,0,0
"175",1988,"nebraska","NE",5,2275000,5
"176",1988,"new hampshire","NH",4,627500,1
"177",1988,"new jersey","NJ",22,1656000,25
"178",1988,"new mexico","NM",3,355000,0
"179",1988,"new york","NY",52,13208000,161
"180",1988,"north carolina","NC",15,755000,21
"181",1988,"north dakota","ND",1,0,0
"182",1988,"ohio","OH",45,15721833,98
"183",1988,"oklahoma","OK",14,3610617,48
"184",1988,"oregon","OR",7,3965000,40
"185",1988,"pennsylvania","PA",32,13234909,103
"186",1988,"rhode island","RI",1,250000,0
"187",1988,"south carolina","SC",12,4767865,36
"188",1988,"south dakota","SD",4,1075000,2
"189",1988,"tennessee","TN",13,2769000,9
"190",1988,"texas","TX",55,15238335,110
"191",1988,"utah","UT",3,1060000,0
"192",1988,"vermont","VT",1,7e+05,19
"193",1988,"virginia","VA",11,1650000,20
"194",1988,"washington","WA",11,2774500,49
"195",1988,"west virginia","WV",3,2555000,33
"196",1988,"wisconsin","WI",7,2350000,0
"197",1988,"wyoming","WY",3,542500,0
"198",1989,"alabama","AL",19,9666871,44
"199",1989,"alaska","AK",2,90000,2
"200",1989,"arizona","AZ",9,1750000,35
"201",1989,"arkansas","AR",6,3709666,33
"202",1989,"california","CA",199,81760888,811
"203",1989,"colorado","CO",6,335500,0
"204",1989,"connecticut","CT",6,820500,2
"205",1989,"delaware","DE",1,550000,14
"206",1989,"district of columbia","DC",1,505000,4
"207",1989,"florida","FL",51,19119556,256
"208",1989,"georgia","GA",21,6009477,66
"209",1989,"hawaii","HI",6,4160666,11
"210",1989,"idaho","ID",2,1350000,7
"211",1989,"illinois","IL",47,23008833,171
"212",1989,"indiana","IN",22,7014500,80
"213",1989,"iowa","IA",7,2468500,7
"214",1989,"kansas","KS",4,1228000,11
"215",1989,"kentucky","KY",9,2939000,45
"216",1989,"louisiana","LA",17,3142500,37
"217",1989,"maine","ME",4,195000,0
"218",1989,"maryland","MD",13,5134448,49
"219",1989,"massachusetts","MA",17,6407500,39
"220",1989,"michigan","MI",27,8582237,48
"221",1989,"minnesota","MN",9,6987000,54
"222",1989,"mississippi","MS",14,4170071,63
"223",1989,"missouri","MO",10,5247500,1
"224",1989,"montana","MT",1,97000,0
"225",1989,"nebraska","NE",7,2878000,6
"226",1989,"nevada","NV",1,0,1
"227",1989,"new hampshire","NH",3,1087500,1
"228",1989,"new jersey","NJ",21,2828000,20
"229",1989,"new mexico","NM",4,453500,2
"230",1989,"new york","NY",54,20721333,169
"231",1989,"north carolina","NC",13,1980000,42
"232",1989,"ohio","OH",46,11896100,69
"233",1989,"oklahoma","OK",15,5714666,79
"234",1989,"oregon","OR",9,4796000,41
"235",1989,"pennsylvania","PA",32,11318500,134
"236",1989,"rhode island","RI",1,0,0
"237",1989,"south carolina","SC",14,4898748,19
"238",1989,"south dakota","SD",3,1370000,3
"239",1989,"tennessee","TN",15,3240500,11
"240",1989,"texas","TX",55,16790166,87
"241",1989,"utah","UT",4,2048333,0
"242",1989,"vermont","VT",1,1200000,13
"243",1989,"virginia","VA",8,1600000,12
"244",1989,"washington","WA",10,2740000,39
"245",1989,"west virginia","WV",4,2523000,20
"246",1989,"wisconsin","WI",8,2653000,0
"247",1989,"wyoming","WY",2,1105000,8
"248",1990,"alabama","AL",12,6969167,45
"249",1990,"alaska","AK",2,278000,1
"250",1990,"arizona","AZ",10,2677500,32
"251",1990,"arkansas","AR",9,3411667,40
"252",1990,"california","CA",225,101195370,881
"253",1990,"colorado","CO",4,545500,0
"254",1990,"connecticut","CT",5,812500,10
"255",1990,"delaware","DE",4,450000,10
"256",1990,"district of columbia","DC",1,866667,6
"257",1990,"florida","FL",50,24632888,247
"258",1990,"georgia","GA",23,8735334,93
"259",1990,"hawaii","HI",4,4233334,0
"260",1990,"idaho","ID",1,925000,0
"261",1990,"illinois","IL",52,26502417,164
"262",1990,"indiana","IN",20,9802667,52
"263",1990,"iowa","IA",6,1396500,0
"264",1990,"kansas","KS",7,1325000,30
"265",1990,"kentucky","KY",13,4352500,42
"266",1990,"louisiana","LA",18,5739167,25
"267",1990,"maine","ME",2,470000,0
"268",1990,"maryland","MD",15,4678206,47
"269",1990,"massachusetts","MA",17,7524166,39
"270",1990,"michigan","MI",28,10209335,38
"271",1990,"minnesota","MN",14,12128652,78
"272",1990,"mississippi","MS",9,4783571,67
"273",1990,"missouri","MO",15,5813667,12
"274",1990,"montana","MT",1,2e+05,0
"275",1990,"nebraska","NE",6,3870000,6
"276",1990,"nevada","NV",1,0,0
"277",1990,"new hampshire","NH",4,1487500,2
"278",1990,"new jersey","NJ",21,3818500,26
"279",1990,"new mexico","NM",4,820000,0
"280",1990,"new york","NY",53,23299667,173
"281",1990,"north carolina","NC",16,4245000,46
"282",1990,"north dakota","ND",1,0,0
"283",1990,"ohio","OH",40,14804167,107
"284",1990,"oklahoma","OK",14,6728334,50
"285",1990,"oregon","OR",13,5514167,41
"286",1990,"pennsylvania","PA",35,15331667,144
"287",1990,"rhode island","RI",2,112000,0
"288",1990,"south carolina","SC",9,3540000,15
"289",1990,"south dakota","SD",3,150000,0
"290",1990,"tennessee","TN",13,4078000,15
"291",1990,"texas","TX",53,19732083,131
"292",1990,"utah","UT",2,2058333,0
"293",1990,"vermont","VT",1,1750000,18
"294",1990,"virginia","VA",11,1785000,10
"295",1990,"washington","WA",11,4251000,56
"296",1990,"west virginia","WV",3,2910000,21
"297",1990,"wisconsin","WI",4,1775000,0
"298",1990,"wyoming","WY",2,2270000,12
"299",1991,"alabama","AL",12,5971000,28
"300",1991,"alaska","AK",1,125000,0
"301",1991,"arizona","AZ",11,3040000,24
"302",1991,"arkansas","AR",8,4941667,22
"303",1991,"california","CA",221,150581497,858
"304",1991,"colorado","CO",6,1050000,0
"305",1991,"connecticut","CT",7,1327500,16
"306",1991,"delaware","DE",3,6e+05,16
"307",1991,"district of columbia","DC",1,1516667,6
"308",1991,"florida","FL",54,37881668,255
"309",1991,"georgia","GA",22,12331666,144
"310",1991,"hawaii","HI",4,5033334,3
"311",1991,"idaho","ID",2,5e+05,0
"312",1991,"illinois","IL",47,34992834,129
"313",1991,"indiana","IN",17,9210000,34
"314",1991,"iowa","IA",5,3489167,0
"315",1991,"kansas","KS",3,2772666,16
"316",1991,"kentucky","KY",11,7737500,70
"317",1991,"louisiana","LA",16,11461333,62
"318",1991,"maine","ME",2,950000,1
"319",1991,"maryland","MD",14,8940667,56
"320",1991,"massachusetts","MA",20,7876666,42
"321",1991,"michigan","MI",30,14599000,53
"322",1991,"minnesota","MN",12,17198333,80
"323",1991,"mississippi","MS",8,5425000,43
"324",1991,"missouri","MO",16,7355000,8
"325",1991,"montana","MT",1,465000,0
"326",1991,"nebraska","NE",6,5734667,8
"327",1991,"nevada","NV",1,130000,1
"328",1991,"new hampshire","NH",4,765000,12
"329",1991,"new jersey","NJ",16,3642500,13
"330",1991,"new mexico","NM",3,1150000,0
"331",1991,"new york","NY",54,31619834,175
"332",1991,"north carolina","NC",17,5760167,27
"333",1991,"north dakota","ND",1,140000,0
"334",1991,"ohio","OH",38,21511833,115
"335",1991,"oklahoma","OK",12,7913334,67
"336",1991,"oregon","OR",14,8744166,27
"337",1991,"pennsylvania","PA",36,17826667,109
"338",1991,"rhode island","RI",1,220000,0
"339",1991,"south carolina","SC",10,3940000,14
"340",1991,"south dakota","SD",3,250000,0
"341",1991,"tennessee","TN",14,6256000,28
"342",1991,"texas","TX",57,31626083,104
"343",1991,"utah","UT",2,2408334,0
"344",1991,"vermont","VT",1,1250000,18
"345",1991,"virginia","VA",14,2321667,4
"346",1991,"washington","WA",7,3546167,47
"347",1991,"west virginia","WV",4,4280000,31
